Solar panels,K-Eco 180,1,KE180,180,12.1,$162.00,$315.00,Economy,Domestic,In stock,1456
Solar panels,K-Eco 200,1,KE200,200,13.4,$180.00,$350.00,Economy,Domestic,In stock,2500
Solar panels,K-Eco 225,1,KE225,225,14.2,$198.00,$385.00,Economy,Domestic,In stock,2136
Solar panels,K-Eco 250,1,KE250,250,16,$225.00,$437.50,Economy,Domestic,In stock,1201
Solar panels,"K-Eco 250x (same power smaller footprint)",1,KE250X,250,10,$480.00,$650.00,Deluxe,Domestic,On back order,0
Solar panels,K-Eco 275,1,KE275,275,18.3,$247.50,$481.25,Economy,Domestic,In stock,855
Solar panels,K-Eco 300,1,KE300,300,20.2,$270.00,$525.00,Economy,Domestic|Corporate,In stock,748
Solar panels,K-Eco 325,1,KE325,325,22.2,$292.50,$568.75,Economy,Domestic|Corporate,In stock,1023
Solar panels,"K-Eco 325x (same power smaller footprint)",1,KE325X,325,15.05,$380.00,$890.50,Deluxe,Domestic|Corporate,On back order,0
Solar panels,K-Eco 450,1,KE450,450,25.5,$405.00,$787.50,Economy,Corporate,In stock,408
Solar panels,K-Eco 575,1,KE575,575,28.7,$517.50,$1006.25,Economy,Corporate,In stock,295
Solar panels,K-Eco 625,1,KE625,625,32.3,$580.00,$1200.23,Economy,Corporate,In stock,176
Solar panels,K-Eco 700,1,KE700,700,35.6,$620,$1500,Economy,Corporate,On back order,0
Solar panels,K-Eco Mini ,1,KE5,5,0.075,$16.25,$39.95,Economy,Personal,In stock,3506
Solar panels,K-Eco phone charger,1,KE001,0.80,n/a,$1.23,$13.85,Economy,Personal,In stock,4804
Grid Tie Inverters,K-Invert 2K,1,KI2K,2000,n/a,$2300.00,$3060.00,Economy,Domestic,In stock,225
Grid Tie Inverters,K-Invert 4K,1,KI4K,4000,n/a,$4600.00,$6120.00,Economy,Domestic,In stock,328
Grid Tie Inverters,K-Invert 7K,1,KI7K,7000,n/a,$8050.00,$10710.00,Economy,Domestic,In stock,267
Grid Tie Inverters,K-Invert 9K,1,KI9K,9000,n/a,$14400.00,$19800.00,Economy,Domestic|Corporate,On back order,0
Grid Tie Inverters,K-Invert 13K,1,KI13K,13000,n/a,$20800.00,$28600.00,Economy,Corporate,On back order,0
Grid Tie Inverters,K-Invert 20K,1,KI20K,20000,n/a,$32000.00,$44000.00,Economy,Corporate,In stock,98
Batteries,K-Eco AA  NiMH rechargeable batteries (6-pack),1,KEAA06,n/a,n/a,$2.50,$7.35,Economy,Domestic|Corporate|Personal,In stock,4509
Batteries,K-Eco AA  NiMH rechargeable batteries (12-pack),1,KEAA12,n/a,n/a,$5.00,$12.50,Economy,Domestic|Corporate|Personal,In stock,3678
Batteries,K-Eco  AAA NiMH rechargeable batteries  (6-pack),1,KEAAA06,n/a,n/a,$2.20,$6.50,Economy,Domestic|Corporate|Personal,In stock,5403
Batteries,K-Eco  AAA NiMH rechargeable batteries (12-pack),1,KEAAA12,n/a,n/a,$4.40,$9.80,Economy,Domestic|Corporate|Personal,In stock,3489
Batteries,K-Eco 12-volt Lithium-ion solar backup battery,1,KE12Li,n/a,n/a,$2100.00,$4500.00,Economy,Domestic,In stock,670
Batteries,K-Eco 18-volt Lithium-ion solar backup battery,1,KE18Li,n/a,n/a,$2300.00,$5200.00,Economy,Domestic,On back order,540
8/5/20168/5/2016,K-Eco 36-volt Lithium-ion solar backup battery,1,KE36Li,n/a,n/a,$2800.00,$7500.00,Economy,Domestic,In stock,320
Batteries,K-Eco 48-volt Lithium-ion solar backup battery,1,KE48Li,n/a,n/a,$3500.00,$13233.00,Economy,Domestic|Corporate,In stock,308
Wind harvester,K-Eco Breeze Mini ,1,KEBR5,5.00,n/a,$31.45,$55.00,Economy,Personal,In stock,1200
Wind harvester,K-Eco Blast 100,1,KEBL100,100,8.45,$175.00,$280.00,Economy,Personal,In stock,458
Wind harvester,K-Eco Blast 200,1,KEBL200,200,15.5,$230.00,$550.00,Economy,Domestic,In stock,725
